scenario,configuration,quantity,n_replicates,truth,contraction_median,contraction_min,contraction_max,coverage,absolute_bias_log_median,rank_min,n_par,least_fisher_eigenvalue_median,least_informed_contraction_median
L8_02,E2_ceus_Acal,k,5,1.9999999999999983e-12,1.0,1.0,1.0,1.0,1.8444397270569688,6,9,0.0,1.0
L8_02,E2_ceus_Acal,phi,5,0.011999999999999999,0.0709316716480609,0.07089404870567015,0.07147073386828574,1.0,0.02150454528298429,6,9,0.0,1.0
L8_02,E2_ceus_Acal,vmag,5,0.002999999999999999,0.006096174494557556,0.00602809546071743,0.006153502878094279,1.0,0.004432012186699197,6,9,0.0,1.0
L8_02,E3_joint_independent,D,5,2.9999999999999997e-06,0.0221212697860838,0.022030000835588967,0.02233064608510223,1.0,0.02058243805036497,12,13,0.0,1.0
L8_02,E3_joint_independent,S_v,5,2.9999999999999977e-05,1.0,1.0,1.0,1.0,0.2938933324510593,12,13,0.0,1.0
L8_02,E3_joint_independent,eta_s,5,0.5,0.004249785960035916,0.0037757991494114934,0.004464251204794725,0.8,0.0011473164768170951,12,13,0.0,1.0
L8_02,E3_joint_independent,k,5,1.9999999999999983e-12,0.9981671144871106,0.9976421281556411,0.9985920167353264,1.0,1.9158596207013936,12,13,0.0,1.0
L8_02,E3_joint_independent,mu,5,1999.9999999999998,0.0013190113761873247,0.001316682470519884,0.0013219111679793193,0.6,0.0009045878720712608,12,13,0.0,1.0
L8_02,E3_joint_independent,phi,5,0.011999999999999999,0.07103675159113668,0.07097089212279158,0.07136224557260791,1.0,0.016642341267633753,12,13,0.0,1.0
L8_02,E3_joint_independent,vmag,5,0.002999999999999999,0.006163342311618261,0.006082662620322476,0.006202101826409699,1.0,0.010811964248819805,12,13,0.0,1.0
L8_02,E4_joint_constitutive_Cvcal,C_v,5,0.0025000000000000005,1.0,1.0,1.0,1.0,0.0,12,13,0.0,1.0
L8_02,E4_joint_constitutive_Cvcal,D,5,2.9999999999999997e-06,0.022121269783606717,0.022030000835457055,0.02233064608510223,1.0,0.020582444337341244,12,13,0.0,1.0
L8_02,E4_joint_constitutive_Cvcal,S_v,5,3e-05,0.2701384760441038,0.27012234679367225,0.2702183964867536,1.0,0.016642440213631815,12,13,0.0,1.0
L8_02,E4_joint_constitutive_Cvcal,eta_s,5,0.5,0.004249785448547419,0.0037757991494114934,0.004464249094724374,0.8,0.001147313238255121,12,13,0.0,1.0
L8_02,E4_joint_constitutive_Cvcal,k,5,1.9999999999999983e-12,0.9981671753848033,0.9976421281556411,0.9985921347797099,1.0,1.915876463146482,12,13,0.0,1.0
L8_02,E4_joint_constitutive_Cvcal,mu,5,1999.9999999999998,0.0013190113761873247,0.0013166823997587235,0.0013219110145627352,0.6,0.0009045883128706578,12,13,0.0,1.0
L8_02,E4_joint_constitutive_Cvcal,phi,5,0.011999999999999999,0.07103675156784048,0.07097089223854808,0.07136224557260791,1.0,0.016642440213632703,12,13,0.0,1.0
L8_02,E4_joint_constitutive_Cvcal,vmag,5,0.002999999999999999,0.006163342320416251,0.006082662632811931,0.006202101813666284,1.0,0.010811964248819805,12,13,0.0,1.0
L8_02,E5_joint_network,C_v,5,0.0025000000000000005,1.0,1.0,1.0,1.0,0.9162907318741551,12,13,0.0,1.0
L8_02,E5_joint_network,D,5,2.9999999999999997e-06,0.022105516532122997,0.022014265589943956,0.022314616079680296,1.0,0.021062561867069007,12,13,0.0,1.0
L8_02,E5_joint_network,S_v,5,3e-05,0.8391376036961204,0.8391359606373023,0.8391457509490046,1.0,0.9178304518022493,12,13,0.0,1.0
L8_02,E5_joint_network,eta_s,5,0.5,0.00422250939235433,0.0037329540720155117,0.004441958082867939,0.8,0.0013202157690660465,12,13,0.0,1.0
L8_02,E5_joint_network,k,5,1.9999999999999983e-12,0.48669288159353413,0.4866827384049848,0.486719307016732,0.0,3.0598900235347237,12,13,0.0,1.0
L8_02,E5_joint_network,mu,5,1999.9999999999998,0.0013169961158364216,0.00131475177494132,0.0013202391419226142,0.6,0.000919936147480982,12,13,0.0,1.0
L8_02,E5_joint_network,phi,5,0.011999999999999999,0.07090872789055477,0.07084330516273916,0.07123224650643899,1.0,0.01907662066718263,12,13,0.0,1.0
L8_02,E5_joint_network,vmag,5,0.002999999999999999,0.006162664540006837,0.006082091560722877,0.0062013803289986845,1.0,0.010853463799350038,12,13,0.0,1.0
