scenario,configuration,replicate,seed,windows,level,quantity,truth,median,lo,hi,contraction,bias_log,covered,rank,n_par,least_fisher_eigenvalue,least_informed_contraction
reference,E2_ceus_Acal,1,1,ceus,independent,phi,0.028000000000000004,0.02745503998989932,0.02487958772546506,0.030297094516379523,0.06576159087857708,-0.019654752883807358,True,6,9,0.0,1.0
reference,E2_ceus_Acal,1,1,ceus,independent,k,3.4999999999999997e-13,3.162277660168375e-13,9.999999999999987e-15,9.999999999999985e-12,1.0,-0.10147042199834644,True,6,9,0.0,1.0
reference,E2_ceus_Acal,1,1,ceus,independent,D,1.0000000000000004e-06,9.745808104430785e-07,9.49204525068487e-07,1.000635512157253e-06,0.011458055915685675,-0.02574783844123374,True,6,9,0.0,1.0
reference,E2_ceus_Acal,1,1,ceus,independent,vmag,0.0010488088481701513,0.0010431862838690634,0.001035055888914605,0.0010513805433189788,0.0033980675829182474,-0.005375325929997565,True,6,9,0.0,1.0
reference,E2_ceus_Acal,1,1,ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,6,9,0.0,1.0
reference,E2_ceus_Acal,2,2,ceus,independent,phi,0.028000000000000004,0.027933748068344554,0.025312970502884346,0.03082586775253543,0.06577265560916702,-0.0023689441500591712,True,6,9,0.0,1.0
reference,E2_ceus_Acal,2,2,ceus,independent,k,3.4999999999999997e-13,3.162277660168375e-13,9.999999999999987e-15,9.999999999999985e-12,1.0,-0.10147042199834644,True,6,9,0.0,1.0
reference,E2_ceus_Acal,2,2,ceus,independent,D,1.0000000000000004e-06,1.0031770215960352e-06,9.769405922115698e-07,1.0301180488161661e-06,0.011509420750380379,0.003171985526572385,True,6,9,0.0,1.0
reference,E2_ceus_Acal,2,2,ceus,independent,vmag,0.0010488088481701513,0.0010505912846967987,0.0010423683475570106,0.0010588790901677897,0.003412578575112563,0.0016980440527039065,True,6,9,0.0,1.0
reference,E2_ceus_Acal,2,2,ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,6,9,0.0,1.0
reference,E2_ceus_Acal,3,3,ceus,independent,phi,0.028000000000000004,0.027873800179789462,0.025258659134728217,0.03075969837981627,0.06577233478773918,-0.004517324198800576,True,6,9,0.0,1.0
reference,E2_ceus_Acal,3,3,ceus,independent,k,3.4999999999999997e-13,3.162277660168375e-13,9.999999999999987e-15,9.999999999999985e-12,1.0,-0.10147042199834644,True,6,9,0.0,1.0
reference,E2_ceus_Acal,3,3,ceus,independent,D,1.0000000000000004e-06,9.944434412379732e-07,9.684973814881278e-07,1.0210845963276824e-06,0.011481636894098382,-0.005572053860941395,True,6,9,0.0,1.0
